CustomerID,Lookalikes
C0001,C0125:0.8156;C0023:0.8054;C0120:0.7923
C0002,C0029:0.8726;C0106:0.8633;C0159:0.8487
C0003,C0144:0.8461;C0026:0.7927;C0110:0.7847
C0004,C0075:0.9474;C0113:0.8216;C0104:0.7837
C0005,C0007:0.8801;C0166:0.8433;C0199:0.7771
C0006,C0185:0.9404;C0200:0.8516;C0138:0.8155
C0007,C0005:0.8801;C0166:0.8181;C0197:0.7682
C0008,C0024:0.8476;C0098:0.7874;C0194:0.7697
C0009,C0180:0.9785;C0097:0.9583;C0058:0.9497
C0010,C0062:0.9098;C0029:0.8795;C0027:0.8213
C0011,C0153:0.8737;C0099:0.7747;C0074:0.7675
C0012,C0059:0.8815;C0195:0.8488;C0163:0.8111
C0013,C0046:0.9441;C0099:0.8646;C0022:0.8178
C0014,C0033:0.978;C0032:0.9152;C0015:0.9139
C0015,C0014:0.9139;C0123:0.9135;C0128:0.9035
C0016,C0126:0.6635;C0191:0.6345;C0044:0.629
C0017,C0065:0.8664;C0090:0.7877;C0075:0.7823
C0018,C0114:0.8918;C0087:0.8368;C0066:0.7732
C0019,C0161:0.8386;C0147:0.7965;C0119:0.7795
C0020,C0080:0.8383;C0140:0.8169;C0110:0.807
