CustomerID,Cluster
C0001,7
C0002,6
C0003,2
C0004,0
C0005,6
C0006,3
C0007,6
C0008,1
C0009,8
C0010,6
C0011,5
C0012,0
C0013,4
C0014,8
C0015,8
C0016,5
C0017,7
C0018,7
C0019,5
C0020,9
C0021,7
C0022,4
C0023,7
C0024,1
C0025,8
C0026,2
C0027,6
C0028,4
C0029,6
C0030,1
C0031,2
C0032,8
C0033,8
C0034,1
C0035,2
C0036,2
C0037,5
C0038,5
C0039,1
C0040,3
C0041,0
C0042,6
C0043,8
C0044,3
C0045,7
C0046,4
C0047,1
C0048,1
C0049,1
C0050,2
C0051,7
C0052,2
C0053,7
C0054,4
C0055,1
C0056,1
C0057,5
C0058,8
C0059,0
C0060,8
C0061,6
C0062,6
C0063,2
C0064,5
C0065,0
C0066,2
C0067,1
C0068,7
C0069,1
C0070,5
C0071,6
C0072,1
C0073,9
C0074,3
C0075,0
C0076,6
C0077,8
C0078,2
C0079,3
C0080,9
C0081,1
C0082,4
C0083,8
C0084,1
C0085,2
C0086,6
C0087,7
C0088,1
C0089,3
C0090,1
C0091,7
C0092,1
C0093,4
C0094,8
C0095,6
C0096,7
C0097,8
C0098,1
C0099,4
C0100,0
C0101,7
C0102,7
C0103,6
C0104,0
C0105,7
C0106,6
C0107,6
C0108,5
C0109,4
C0110,9
C0111,1
C0112,2
C0113,0
C0114,7
C0115,2
C0116,1
C0117,3
C0118,5
C0119,8
C0120,2
C0121,8
C0122,7
C0123,2
C0124,1
C0125,2
C0126,5
C0127,1
C0128,8
C0129,2
C0130,8
C0131,6
C0132,6
C0133,6
C0134,6
C0135,6
C0136,0
C0137,5
C0138,3
C0139,5
C0140,2
C0141,4
C0142,6
C0143,4
C0144,9
C0145,4
C0146,2
C0147,5
C0148,0
C0149,3
C0150,8
C0151,2
C0152,6
C0153,5
C0154,1
C0155,5
C0156,4
C0157,1
C0158,3
C0159,6
C0160,5
C0161,5
C0162,0
C0163,0
C0164,6
C0165,4
C0166,6
C0167,2
C0168,7
C0169,3
C0170,3
C0171,5
C0172,1
C0173,0
C0174,5
C0175,4
C0176,9
C0177,2
C0178,6
C0179,5
C0181,1
C0182,3
C0183,1
C0184,1
C0185,3
C0186,2
C0187,5
C0188,4
C0189,6
C0190,1
C0191,5
C0192,8
C0193,5
C0194,1
C0195,1
C0196,3
C0197,6
C0198,8
C0199,6
C0200,3
C0180,8
